"is_attack","AIT501","AIT502","AIT503","AIT504","FIT501","FIT502","FIT503","FIT504","PIT501","PIT502","PIT503"
1,"GT 7.74131627","LT 68.25173225","GT 1016.24585","GT 24.82055855","GT 0.801781585","GT 0.3526962995","GT 0.6097366185","LT 0.211734929","LT 159.9429625","GT 2.8593855","LT 114.481865"
1,"GT 7.74131627","LT 68.25173225","GT 1016.24585","GT 24.82055855","GT 0.801781585","GT 0.3526962995","GT 0.6097366185","LT 0.211734929","LT 159.9429625","GT 2.8593855","LT 114.481865"
1,"GT 7.74131627","LT 68.25173225","GT 1016.24585","GT 24.82055855","GT 0.801781585","GT 0.3526962995","GT 0.6097366185","GT 0.211734929","LT 159.9429625","GT 2.8593855","LT 114.481865"
1,"GT 7.74131627","LT 68.25173225","GT 1016.24585","GT 24.82055855","GT 0.801781585","GT 0.3526962995","GT 0.6097366185","GT 0.211734929","LT 159.9429625","GT 2.8593855","LT 114.481865"
1,"GT 7.74131627","LT 68.25173225","GT 1016.24585","GT 24.82055855","GT 0.801781585","GT 0.3526962995","LT 0.6097366185","LT 0.211734929","LT 159.9429625","GT 2.8593855","LT 114.481865"
1,"GT 7.74131627","LT 68.25173225","GT 1016.24585","GT 24.82055855","GT 0.801781585","GT 0.3526962995","LT 0.6097366185","LT 0.211734929","LT 159.9429625","GT 2.8593855","LT 114.481865"
1,"GT 7.74131627","LT 68.25173225","GT 1016.24585","GT 24.82055855","GT 0.801781585","GT 0.3526962995","LT 0.6097366185","LT 0.211734929","LT 159.9429625","GT 2.8593855","LT 114.481865"
1,"GT 7.74131627","LT 68.25173225","GT 1016.24585","GT 24.82055855","GT 0.801781585","GT 0.3526962995","GT 0.6097366185","LT 0.211734929","LT 159.9429625","GT 2.8593855","LT 114.481865"
1,"GT 7.74131627","LT 68.25173225","GT 1016.24585","GT 24.82055855","GT 0.801781585","GT 0.3526962995","GT 0.6097366185","LT 0.211734929","LT 159.9429625","GT 2.8593855","LT 114.481865"
1,"GT 7.74131627","LT 68.25173225","GT 1016.24585","GT 24.82055855","GT 0.801781585","GT 0.3526962995","GT 0.6097366185","LT 0.211734929","LT 159.9429625","GT 2.8593855","LT 114.481865"
1,"GT 7.74131627","LT 68.25173225","GT 1016.24585","GT 24.82055855","GT 0.801781585","GT 0.3526962995","LT 0.6097366185","LT 0.211734929","LT 159.9429625","GT 2.8593855","LT 114.481865"
1,"GT 7.74131627","LT 68.25173225","GT 1016.24585","GT 24.82055855","GT 0.801781585","GT 0.3526962995","GT 0.6097366185","LT 0.211734929","LT 159.9429625","GT 2.8593855","LT 114.481865"
1,"GT 7.74131627","LT 68.25173225","GT 1016.24585","GT 24.82055855","GT 0.801781585","GT 0.3526962995","LT 0.6097366185","LT 0.211734929","LT 159.9429625","GT 2.8593855","LT 114.481865"
1,"GT 7.74131627","LT 68.25173225","GT 1016.24585","GT 24.82055855","GT 0.801781585","GT 0.3526962995","LT 0.6097366185","LT 0.211734929","LT 159.9429625","GT 2.8593855","LT 114.481865"
1,"GT 7.74131627","LT 68.25173225","GT 1016.24585","GT 24.82055855","GT 0.801781585","GT 0.3526962995","LT 0.6097366185","LT 0.211734929","LT 159.9429625","GT 2.8593855","LT 114.481865"
1,"GT 7.74131627","LT 68.25173225","GT 1016.24585","GT 24.82055855","GT 0.801781585","GT 0.3526962995","LT 0.6097366185","LT 0.211734929","LT 159.9429625","GT 2.8593855","LT 114.481865"
1,"GT 7.74131627","LT 68.25173225","GT 1016.24585","GT 24.82055855","GT 0.801781585","GT 0.3526962995","LT 0.6097366185","LT 0.211734929","LT 159.9429625","GT 2.8593855","LT 114.481865"
1,"GT 7.74131627","LT 68.25173225","GT 1016.24585","GT 24.82055855","GT 0.801781585","GT 0.3526962995","LT 0.6097366185","LT 0.211734929","LT 159.9429625","GT 2.8593855","LT 114.481865"
1,"GT 7.74131627","LT 68.25173225","GT 1016.24585","GT 24.82055855","GT 0.801781585","GT 0.3526962995","LT 0.6097366185","LT 0.211734929","LT 159.9429625","GT 2.8593855","LT 114.481865"
1,"GT 7.74131627","LT 68.25173225","GT 1016.24585","GT 24.82055855","GT 0.801781585","GT 0.3526962995","LT 0.6097366185","LT 0.211734929","LT 159.9429625","GT 2.8593855","LT 114.481865"
1,"GT 7.74131627","LT 68.25173225","GT 1016.24585","GT 24.82055855","GT 0.801781585","GT 0.3526962995","LT 0.6097366185","LT 0.211734929","LT 159.9429625","GT 2.8593855","LT 114.481865"
1,"GT 7.74131627","LT 68.25173225","GT 1016.24585","GT 24.82055855","GT 0.801781585","GT 0.3526962995","LT 0.6097366185","LT 0.211734929","LT 159.9429625","GT 2.8593855","LT 114.481865"
1,"GT 7.74131627","LT 68.25173225","GT 1016.24585","GT 24.82055855","GT 0.801781585","GT 0.3526962995","LT 0.6097366185","LT 0.211734929","LT 159.9429625","GT 2.8593855","LT 114.481865"
1,"GT 7.74131627","LT 68.25173225","GT 1016.24585","GT 24.82055855","GT 0.801781585","GT 0.3526962995","LT 0.6097366185","LT 0.211734929","LT 159.9429625","GT 2.8593855","LT 114.481865"
1,"GT 7.74131627","LT 68.25173225","GT 1016.24585","GT 24.82055855","GT 0.801781585","GT 0.3526962995","LT 0.6097366185","LT 0.211734929","LT 159.9429625","GT 2.8593855","LT 114.481865"
1,"GT 7.74131627","LT 68.25173225","GT 1016.24585","GT 24.82055855","GT 0.801781585","GT 0.3526962995","LT 0.6097366185","LT 0.211734929","LT 159.9429625","GT 2.8593855","LT 114.481865"
1,"GT 7.74131627","LT 68.25173225","GT 1016.24585","GT 24.82055855","GT 0.801781585","GT 0.3526962995","LT 0.6097366185","LT 0.211734929","LT 159.9429625","GT 2.8593855","LT 114.481865"
1,"GT 7.74131627","LT 68.25173225","GT 1016.24585","GT 24.82055855","GT 0.801781585","GT 0.3526962995","LT 0.6097366185","LT 0.211734929","LT 159.9429625","GT 2.8593855","LT 114.481865"
1,"GT 7.74131627","LT 68.25173225","GT 1016.24585","GT 24.82055855","LT 0.801781585","GT 0.3526962995","LT 0.6097366185","LT 0.211734929","LT 159.9429625","GT 2.8593855","LT 114.481865"
1,"GT 7.74131627","LT 68.25173225","GT 1016.24585","GT 24.82055855","LT 0.801781585","GT 0.3526962995","LT 0.6097366185","LT 0.211734929","LT 159.9429625","GT 2.8593855","LT 114.481865"
1,"GT 7.74131627","LT 68.25173225","GT 1016.24585","GT 24.82055855","LT 0.801781585","GT 0.3526962995","LT 0.6097366185","LT 0.211734929","LT 159.9429625","GT 2.8593855","LT 114.481865"
1,"GT 7.74131627","LT 68.25173225","GT 1016.24585","GT 24.82055855","GT 0.801781585","GT 0.3526962995","LT 0.6097366185","LT 0.211734929","LT 159.9429625","GT 2.8593855","LT 114.481865"
1,"GT 7.74131627","LT 68.25173225","GT 1016.24585","GT 24.82055855","GT 0.801781585","GT 0.3526962995","LT 0.6097366185","LT 0.211734929","LT 159.9429625","GT 2.8593855","LT 114.481865"
1,"GT 7.74131627","LT 68.25173225","GT 1016.24585","GT 24.82055855","GT 0.801781585","GT 0.3526962995","LT 0.6097366185","LT 0.211734929","LT 159.9429625","GT 2.8593855","LT 114.481865"
1,"GT 7.74131627","LT 68.25173225","GT 1016.24585","GT 24.82055855","GT 0.801781585","GT 0.3526962995","LT 0.6097366185","LT 0.211734929","LT 159.9429625","GT 2.8593855","LT 114.481865"
1,"GT 7.74131627","LT 68.25173225","GT 1016.24585","GT 24.82055855","GT 0.801781585","GT 0.3526962995","LT 0.6097366185","LT 0.211734929","LT 159.9429625","GT 2.8593855","LT 114.481865"
1,"GT 7.74131627","LT 68.25173225","GT 1016.24585","GT 24.82055855","GT 0.801781585","GT 0.3526962995","LT 0.6097366185","GT 0.211734929","LT 159.9429625","GT 2.8593855","LT 114.481865"
1,"GT 7.74131627","LT 68.25173225","GT 1016.24585","GT 24.82055855","GT 0.801781585","GT 0.3526962995","LT 0.6097366185","LT 0.211734929","LT 159.9429625","GT 2.8593855","LT 114.481865"
1,"GT 7.74131627","LT 68.25173225","GT 1016.24585","GT 24.82055855","GT 0.801781585","GT 0.3526962995","LT 0.6097366185","LT 0.211734929","LT 159.9429625","GT 2.8593855","LT 114.481865"
1,"GT 7.74131627","LT 68.25173225","GT 1016.24585","GT 24.82055855","GT 0.801781585","GT 0.3526962995","LT 0.6097366185","LT 0.211734929","LT 159.9429625","GT 2.8593855","LT 114.481865"
1,"GT 7.74131627","LT 68.25173225","GT 1016.24585","GT 24.82055855","GT 0.801781585","GT 0.3526962995","LT 0.6097366185","LT 0.211734929","LT 159.9429625","GT 2.8593855","LT 114.481865"
1,"GT 7.74131627","LT 68.25173225","GT 1016.24585","GT 24.82055855","GT 0.801781585","GT 0.3526962995","LT 0.6097366185","GT 0.211734929","LT 159.9429625","GT 2.8593855","LT 114.481865"
1,"GT 7.74131627","LT 68.25173225","GT 1016.24585","GT 24.82055855","GT 0.801781585","GT 0.3526962995","LT 0.6097366185","LT 0.211734929","LT 159.9429625","GT 2.8593855","LT 114.481865"
1,"GT 7.74131627","LT 68.25173225","GT 1016.24585","GT 24.82055855","GT 0.801781585","GT 0.3526962995","LT 0.6097366185","LT 0.211734929","LT 159.9429625","GT 2.8593855","LT 114.481865"
1,"GT 7.74131627","LT 68.25173225","GT 1016.24585","GT 24.82055855","GT 0.801781585","GT 0.3526962995","LT 0.6097366185","LT 0.211734929","LT 159.9429625","GT 2.8593855","LT 114.481865"
1,"GT 7.74131627","LT 68.25173225","GT 1016.24585","GT 24.82055855","GT 0.801781585","GT 0.3526962995","LT 0.6097366185","LT 0.211734929","LT 159.9429625","GT 2.8593855","LT 114.481865"
1,"GT 7.74131627","LT 68.25173225","GT 1016.24585","GT 24.82055855","GT 0.801781585","GT 0.3526962995","LT 0.6097366185","LT 0.211734929","LT 159.9429625","GT 2.8593855","LT 114.481865"
1,"GT 7.74131627","LT 68.25173225","GT 1016.24585","GT 24.82055855","GT 0.801781585","GT 0.3526962995","LT 0.6097366185","LT 0.211734929","LT 159.9429625","GT 2.8593855","LT 114.481865"
1,"GT 7.74131627","LT 68.25173225","GT 1016.24585","GT 24.82055855","GT 0.801781585","GT 0.3526962995","LT 0.6097366185","LT 0.211734929","LT 159.9429625","GT 2.8593855","LT 114.481865"
1,"GT 7.74131627","LT 68.25173225","GT 1016.24585","GT 24.82055855","GT 0.801781585","GT 0.3526962995","LT 0.6097366185","LT 0.211734929","LT 159.9429625","GT 2.8593855","LT 114.481865"
1,"GT 7.74131627","LT 68.25173225","GT 1016.24585","GT 24.82055855","GT 0.801781585","GT 0.3526962995","LT 0.6097366185","LT 0.211734929","LT 159.9429625","GT 2.8593855","LT 114.481865"
1,"GT 7.74131627","LT 68.25173225","GT 1016.24585","GT 24.82055855","GT 0.801781585","GT 0.3526962995","LT 0.6097366185","LT 0.211734929","LT 159.9429625","GT 2.8593855","LT 114.481865"
1,"GT 7.74131627","LT 68.25173225","GT 1016.24585","GT 24.82055855","GT 0.801781585","GT 0.3526962995","LT 0.6097366185","LT 0.211734929","LT 159.9429625","GT 2.8593855","LT 114.481865"
1,"GT 7.74131627","LT 68.25173225","GT 1016.24585","GT 24.82055855","GT 0.801781585","GT 0.3526962995","LT 0.6097366185","LT 0.211734929","LT 159.9429625","GT 2.8593855","LT 114.481865"
1,"GT 7.74131627","LT 68.25173225","GT 1016.24585","GT 24.82055855","GT 0.801781585","GT 0.3526962995","LT 0.6097366185","LT 0.211734929","LT 159.9429625","GT 2.8593855","LT 114.481865"
1,"GT 7.74131627","LT 68.25173225","GT 1016.24585","GT 24.82055855","GT 0.801781585","GT 0.3526962995","LT 0.6097366185","LT 0.211734929","LT 159.9429625","GT 2.8593855","LT 114.481865"
1,"GT 7.74131627","LT 68.25173225","GT 1016.24585","GT 24.82055855","LT 0.801781585","GT 0.3526962995","LT 0.6097366185","LT 0.211734929","LT 159.9429625","GT 2.8593855","LT 114.481865"
1,"GT 7.74131627","LT 68.25173225","GT 1016.24585","GT 24.82055855","GT 0.801781585","GT 0.3526962995","LT 0.6097366185","LT 0.211734929","LT 159.9429625","GT 2.8593855","LT 114.481865"
1,"GT 7.74131627","LT 68.25173225","GT 1016.24585","GT 24.82055855","GT 0.801781585","GT 0.3526962995","LT 0.6097366185","LT 0.211734929","LT 159.9429625","GT 2.8593855","LT 114.481865"
1,"GT 7.74131627","LT 68.25173225","GT 1016.24585","GT 24.82055855","GT 0.801781585","GT 0.3526962995","LT 0.6097366185","LT 0.211734929","LT 159.9429625","GT 2.8593855","LT 114.481865"
1,"GT 7.74131627","LT 68.25173225","GT 1016.24585","GT 24.82055855","LT 0.801781585","GT 0.3526962995","LT 0.6097366185","LT 0.211734929","LT 159.9429625","GT 2.8593855","LT 114.481865"
1,"GT 7.74131627","LT 68.25173225","GT 1016.24585","GT 24.82055855","GT 0.801781585","GT 0.3526962995","LT 0.6097366185","LT 0.211734929","LT 159.9429625","GT 2.8593855","LT 114.481865"
1,"GT 7.74131627","LT 68.25173225","GT 1016.24585","GT 24.82055855","GT 0.801781585","GT 0.3526962995","LT 0.6097366185","LT 0.211734929","LT 159.9429625","GT 2.8593855","LT 114.481865"
1,"GT 7.74131627","LT 68.25173225","GT 1016.24585","GT 24.82055855","GT 0.801781585","GT 0.3526962995","LT 0.6097366185","LT 0.211734929","LT 159.9429625","GT 2.8593855","LT 114.481865"
1,"GT 7.74131627","LT 68.25173225","GT 1016.24585","GT 24.82055855","GT 0.801781585","GT 0.3526962995","LT 0.6097366185","LT 0.211734929","LT 159.9429625","GT 2.8593855","LT 114.481865"
1,"GT 7.74131627","LT 68.25173225","GT 1016.24585","GT 24.82055855","GT 0.801781585","GT 0.3526962995","LT 0.6097366185","LT 0.211734929","LT 159.9429625","GT 2.8593855","LT 114.481865"
1,"GT 7.74131627","LT 68.25173225","GT 1016.24585","GT 24.82055855","GT 0.801781585","GT 0.3526962995","LT 0.6097366185","LT 0.211734929","LT 159.9429625","GT 2.8593855","LT 114.481865"
1,"GT 7.74131627","LT 68.25173225","GT 1016.24585","GT 24.82055855","GT 0.801781585","GT 0.3526962995","LT 0.6097366185","LT 0.211734929","LT 159.9429625","GT 2.8593855","LT 114.481865"
1,"GT 7.74131627","LT 68.25173225","GT 1016.24585","GT 24.82055855","GT 0.801781585","GT 0.3526962995","LT 0.6097366185","LT 0.211734929","LT 159.9429625","GT 2.8593855","LT 114.481865"
1,"GT 7.74131627","LT 68.25173225","GT 1016.24585","GT 24.82055855","GT 0.801781585","GT 0.3526962995","LT 0.6097366185","LT 0.211734929","LT 159.9429625","GT 2.8593855","LT 114.481865"
1,"GT 7.74131627","LT 68.25173225","GT 1016.24585","GT 24.82055855","GT 0.801781585","GT 0.3526962995","LT 0.6097366185","LT 0.211734929","LT 159.9429625","GT 2.8593855","LT 114.481865"
1,"GT 7.74131627","LT 68.25173225","GT 1016.24585","GT 24.82055855","GT 0.801781585","GT 0.3526962995","LT 0.6097366185","LT 0.211734929","LT 159.9429625","GT 2.8593855","LT 114.481865"
1,"GT 7.74131627","LT 68.25173225","GT 1016.24585","GT 24.82055855","GT 0.801781585","GT 0.3526962995","LT 0.6097366185","LT 0.211734929","LT 159.9429625","GT 2.8593855","LT 114.481865"
1,"GT 7.74131627","LT 68.25173225","GT 1016.24585","GT 24.82055855","GT 0.801781585","GT 0.3526962995","LT 0.6097366185","LT 0.211734929","LT 159.9429625","GT 2.8593855","LT 114.481865"
1,"GT 7.74131627","LT 68.25173225","GT 1016.24585","GT 24.82055855","GT 0.801781585","GT 0.3526962995","LT 0.6097366185","LT 0.211734929","LT 159.9429625","GT 2.8593855","LT 114.481865"
1,"GT 7.74131627","LT 68.25173225","GT 1016.24585","GT 24.82055855","GT 0.801781585","GT 0.3526962995","LT 0.6097366185","LT 0.211734929","LT 159.9429625","GT 2.8593855","LT 114.481865"
1,"GT 7.74131627","LT 68.25173225","GT 1016.24585","GT 24.82055855","GT 0.801781585","GT 0.3526962995","LT 0.6097366185","LT 0.211734929","LT 159.9429625","GT 2.8593855","LT 114.481865"
1,"GT 7.74131627","LT 68.25173225","GT 1016.24585","GT 24.82055855","GT 0.801781585","GT 0.3526962995","LT 0.6097366185","LT 0.211734929","LT 159.9429625","GT 2.8593855","LT 114.481865"
1,"GT 7.74131627","LT 68.25173225","GT 1016.24585","GT 24.82055855","GT 0.801781585","GT 0.3526962995","LT 0.6097366185","LT 0.211734929","LT 159.9429625","GT 2.8593855","LT 114.481865"
1,"GT 7.74131627","LT 68.25173225","GT 1016.24585","GT 24.82055855","GT 0.801781585","GT 0.3526962995","LT 0.6097366185","LT 0.211734929","LT 159.9429625","GT 2.8593855","LT 114.481865"
1,"GT 7.74131627","LT 68.25173225","GT 1016.24585","GT 24.82055855","GT 0.801781585","GT 0.3526962995","LT 0.6097366185","LT 0.211734929","LT 159.9429625","GT 2.8593855","LT 114.481865"
1,"GT 7.74131627","LT 68.25173225","GT 1016.24585","GT 24.82055855","GT 0.801781585","GT 0.3526962995","LT 0.6097366185","LT 0.211734929","LT 159.9429625","GT 2.8593855","LT 114.481865"
1,"GT 7.74131627","LT 68.25173225","GT 1016.24585","GT 24.82055855","GT 0.801781585","GT 0.3526962995","LT 0.6097366185","LT 0.211734929","LT 159.9429625","GT 2.8593855","LT 114.481865"
1,"GT 7.74131627","LT 68.25173225","GT 1016.24585","GT 24.82055855","GT 0.801781585","GT 0.3526962995","LT 0.6097366185","LT 0.211734929","LT 159.9429625","GT 2.8593855","LT 114.481865"
1,"GT 7.74131627","LT 68.25173225","GT 1016.24585","GT 24.82055855","GT 0.801781585","GT 0.3526962995","LT 0.6097366185","GT 0.211734929","LT 159.9429625","GT 2.8593855","LT 114.481865"
1,"GT 7.74131627","LT 68.25173225","GT 1016.24585","GT 24.82055855","GT 0.801781585","GT 0.3526962995","LT 0.6097366185","GT 0.211734929","LT 159.9429625","GT 2.8593855","LT 114.481865"
1,"GT 7.74131627","LT 68.25173225","GT 1016.24585","GT 24.82055855","GT 0.801781585","GT 0.3526962995","LT 0.6097366185","GT 0.211734929","LT 159.9429625","GT 2.8593855","LT 114.481865"
1,"GT 7.74131627","LT 68.25173225","GT 1016.24585","GT 24.82055855","GT 0.801781585","GT 0.3526962995","LT 0.6097366185","LT 0.211734929","LT 159.9429625","GT 2.8593855","LT 114.481865"
1,"GT 7.74131627","LT 68.25173225","GT 1016.24585","GT 24.82055855","GT 0.801781585","GT 0.3526962995","LT 0.6097366185","LT 0.211734929","LT 159.9429625","GT 2.8593855","LT 114.481865"
1,"GT 7.74131627","LT 68.25173225","GT 1016.24585","GT 24.82055855","GT 0.801781585","GT 0.3526962995","LT 0.6097366185","LT 0.211734929","LT 159.9429625","GT 2.8593855","LT 114.481865"
1,"GT 7.74131627","LT 68.25173225","GT 1016.24585","GT 24.82055855","GT 0.801781585","GT 0.3526962995","LT 0.6097366185","GT 0.211734929","LT 159.9429625","LT 2.8593855","LT 114.481865"
1,"GT 7.74131627","LT 68.25173225","GT 1016.24585","GT 24.82055855","GT 0.801781585","GT 0.3526962995","LT 0.6097366185","GT 0.211734929","LT 159.9429625","LT 2.8593855","LT 114.481865"
1,"GT 7.74131627","LT 68.25173225","GT 1016.24585","GT 24.82055855","LT 0.801781585","GT 0.3526962995","LT 0.6097366185","GT 0.211734929","LT 159.9429625","GT 2.8593855","LT 114.481865"
1,"GT 7.74131627","LT 68.25173225","GT 1016.24585","GT 24.82055855","LT 0.801781585","GT 0.3526962995","LT 0.6097366185","GT 0.211734929","LT 159.9429625","GT 2.8593855","LT 114.481865"
1,"GT 7.74131627","LT 68.25173225","GT 1016.24585","GT 24.82055855","GT 0.801781585","GT 0.3526962995","LT 0.6097366185","GT 0.211734929","LT 159.9429625","GT 2.8593855","LT 114.481865"
1,"GT 7.74131627","LT 68.25173225","GT 1016.24585","GT 24.82055855","GT 0.801781585","GT 0.3526962995","LT 0.6097366185","GT 0.211734929","LT 159.9429625","GT 2.8593855","LT 114.481865"
1,"GT 7.74131627","LT 68.25173225","GT 1016.24585","GT 24.82055855","GT 0.801781585","GT 0.3526962995","LT 0.6097366185","GT 0.211734929","LT 159.9429625","GT 2.8593855","LT 114.481865"
1,"GT 7.74131627","LT 68.25173225","GT 1016.24585","GT 24.82055855","GT 0.801781585","GT 0.3526962995","LT 0.6097366185","LT 0.211734929","LT 159.9429625","GT 2.8593855","LT 114.481865"
1,"GT 7.74131627","LT 68.25173225","GT 1016.24585","GT 24.82055855","GT 0.801781585","GT 0.3526962995","LT 0.6097366185","LT 0.211734929","LT 159.9429625","GT 2.8593855","LT 114.481865"
1,"GT 7.74131627","LT 68.25173225","LT 1016.24585","GT 24.82055855","GT 0.801781585","GT 0.3526962995","LT 0.6097366185","LT 0.211734929","LT 159.9429625","GT 2.8593855","LT 114.481865"
1,"GT 7.74131627","LT 68.25173225","LT 1016.24585","GT 24.82055855","GT 0.801781585","GT 0.3526962995","LT 0.6097366185","LT 0.211734929","LT 159.9429625","GT 2.8593855","LT 114.481865"
1,"GT 7.74131627","LT 68.25173225","LT 1016.24585","GT 24.82055855","GT 0.801781585","GT 0.3526962995","LT 0.6097366185","LT 0.211734929","LT 159.9429625","GT 2.8593855","LT 114.481865"
1,"GT 7.74131627","LT 68.25173225","LT 1016.24585","GT 24.82055855","GT 0.801781585","GT 0.3526962995","LT 0.6097366185","LT 0.211734929","LT 159.9429625","GT 2.8593855","LT 114.481865"
1,"GT 7.74131627","LT 68.25173225","LT 1016.24585","GT 24.82055855","GT 0.801781585","GT 0.3526962995","LT 0.6097366185","LT 0.211734929","LT 159.9429625","GT 2.8593855","LT 114.481865"
1,"GT 7.74131627","LT 68.25173225","LT 1016.24585","GT 24.82055855","GT 0.801781585","GT 0.3526962995","LT 0.6097366185","LT 0.211734929","LT 159.9429625","GT 2.8593855","LT 114.481865"
1,"GT 7.74131627","LT 68.25173225","LT 1016.24585","GT 24.82055855","GT 0.801781585","GT 0.3526962995","LT 0.6097366185","LT 0.211734929","LT 159.9429625","GT 2.8593855","LT 114.481865"
1,"GT 7.74131627","LT 68.25173225","LT 1016.24585","GT 24.82055855","GT 0.801781585","GT 0.3526962995","LT 0.6097366185","LT 0.211734929","LT 159.9429625","GT 2.8593855","LT 114.481865"
1,"GT 7.74131627","LT 68.25173225","LT 1016.24585","GT 24.82055855","GT 0.801781585","GT 0.3526962995","LT 0.6097366185","LT 0.211734929","LT 159.9429625","GT 2.8593855","LT 114.481865"
1,"GT 7.74131627","LT 68.25173225","LT 1016.24585","GT 24.82055855","GT 0.801781585","GT 0.3526962995","LT 0.6097366185","LT 0.211734929","LT 159.9429625","GT 2.8593855","LT 114.481865"
